gene_name	gene_ensembl	gene_type	Chr	Start	End	Strand
PARP15	ENSG00000173200.12	protein_coding	chr3	122577602	122639047	+
RP11-757I12.4	ENSG00000243918.1	processed_pseudogene	chr3	122660613	122662438	+
PARP14	ENSG00000173193.13	protein_coding	chr3	122680618	122730840	+
HSPBAP1	ENSG00000169087.10	protein_coding	chr3	122740003	122793824	-
DIRC2	ENSG00000138463.8	protein_coding	chr3	122794795	122881139	+
RP11-67L2.2	ENSG00000273033.2	lincRNA	chr3	122886941	122892416	+
SEMA5B	ENSG00000082684.14	protein_coding	chr3	122909193	123028605	-
PDIA5	ENSG00000065485.19	protein_coding	chr3	123067062	123225227	+
MIR7110	ENSG00000284421.1	miRNA	chr3	123161794	123161879	+
SEC22A	ENSG00000121542.11	protein_coding	chr3	123201927	123274130	+
RP11-797D24.3	ENSG00000273454.1	lincRNA	chr3	123277353	123277904	+
ADCY5	ENSG00000173175.14	protein_coding	chr3	123282296	123449758	-
RP11-797D24.4	ENSG00000272678.1	antisense	chr3	123283593	123283983	+
HACD2	ENSG00000206527.9	protein_coding	chr3	123490820	123585185	-
RP11-202D20.1	ENSG00000239523.5	antisense	chr3	123585542	123644568	+
MYLK	ENSG00000065534.18	protein_coding	chr3	123610049	123884331	-
RP11-9N20.1	ENSG00000250174.5	antisense	chr3	123689644	123692407	+
RP11-9N20.3	ENSG00000273123.1	antisense	chr3	123715851	123716399	+
RF00392	ENSG00000207002.1	snoRNA	chr3	123814077	123814207	+
CCDC14	ENSG00000175455.14	protein_coding	chr3	123897305	123961408	-
ROPN1	ENSG00000065371.17	protein_coding	chr3	123968521	123992178	-
KALRN	ENSG00000160145.15	protein_coding	chr3	124080023	124726325	+
MIR5002	ENSG00000266383.1	miRNA	chr3	124132929	124133025	+
RP11-521J5.1	ENSG00000240622.1	processed_pseudogene	chr3	124151960	124153063	-
MIR6083	ENSG00000276656.1	miRNA	chr3	124374332	124374437	+
RNU6-143P	ENSG00000252751.1	snRNA	chr3	124407691	124407783	+
RP11-71H17.7	ENSG00000260391.2	sense_overlapping	chr3	124723788	124726325	+
UMPS	ENSG00000114491.13	protein_coding	chr3	124730366	124749273	+
MIR544B	ENSG00000265981.1	miRNA	chr3	124732439	124732516	+
RP11-71H17.1	ENSG00000242199.1	processed_pseudogene	chr3	124733418	124733754	-
ITGB5	ENSG00000082781.11	protein_coding	chr3	124761948	124901418	-
RP11-71H17.6	ENSG00000244286.1	antisense	chr3	124781155	124787757	+
RP11-71H17.8	ENSG00000280042.1	TEC	chr3	124791119	124793104	-
RF00100	ENSG00000276626.1	misc_RNA	chr3	124792319	124792562	-
RP11-71H17.4	ENSG00000243986.2	processed_pseudogene	chr3	124862094	124863317	-
MUC13	ENSG00000173702.7	protein_coding	chr3	124905442	124953819	-
HEG1	ENSG00000173706.12	protein_coding	chr3	124965710	125055958	-
RNA5SP137	ENSG00000252642.1	rRNA	chr3	125058304	125058438	-
SLC12A8	ENSG00000221955.10	protein_coding	chr3	125082636	125212864	-
RNU6-230P	ENSG00000199327.1	snRNA	chr3	125119097	125119200	-
MIR5092	ENSG00000264986.1	miRNA	chr3	125151465	125151552	-
ZNF148	ENSG00000163848.19	protein_coding	chr3	125225561	125375354	-
RP11-775J23.1	ENSG00000229048.5	processed_pseudogene	chr3	125310881	125311350	+
RP11-775J23.2	ENSG00000243508.1	processed_pseudogene	chr3	125344085	125344797	-
RNU6-232P	ENSG00000252953.1	snRNA	chr3	125388934	125388997	+
SNX4	ENSG00000114520.10	protein_coding	chr3	125446644	125520197	-
RF00019	ENSG00000201800.1	misc_RNA	chr3	125516979	125517086	+
RF00019	ENSG00000252965.1	misc_RNA	chr3	125528244	125528349	-
OSBPL11	ENSG00000144909.7	protein_coding	chr3	125528858	125595090	-
GS1-388B5.2	ENSG00000243072.1	processed_pseudogene	chr3	125679573	125679781	+
GS1-388B5.1	ENSG00000242001.1	processed_pseudogene	chr3	125681305	125681453	+
OR7E130P	ENSG00000234458.4	unprocessed_pseudogene	chr3	125703349	125704312	+
OR7E29P	ENSG00000243429.1	unprocessed_pseudogene	chr3	125712139	125713045	+
OR7E93P	ENSG00000228963.3	unprocessed_pseudogene	chr3	125724539	125725445	+
OR7E53P	ENSG00000239978.1	unprocessed_pseudogene	chr3	125734295	125735198	+
OR7E97P	ENSG00000179170.11	unprocessed_pseudogene	chr3	125747084	125748098	+
GS1-388B5.8	ENSG00000239432.1	processed_pseudogene	chr3	125756086	125756462	+
RP11-379B18.8	ENSG00000284624.1	processed_transcript	chr3	125766516	125852936	+
RP11-379B18.7	ENSG00000284660.1	transcribed_unprocessed_pseudogene	chr3	125766601	125766818	+
RP11-379B18.6	ENSG00000272840.1	lincRNA	chr3	125774714	125797953	+
RP11-379B18.1	ENSG00000239804.1	processed_pseudogene	chr3	125787888	125788146	-
MIR548I1	ENSG00000221737.1	miRNA	chr3	125790404	125790552	-
RP11-379B18.2	ENSG00000242229.1	processed_pseudogene	chr3	125795106	125795885	+
RP11-379B18.3	ENSG00000241346.1	processed_pseudogene	chr3	125816082	125816286	-
RP11-379B18.5	ENSG00000241288.7	processed_transcript	chr3	125827238	125916384	-
RP11-379B18.4	ENSG00000241278.1	transcribed_unprocessed_pseudogene	chr3	125848223	125909372	+
RP11-666A20.4	ENSG00000248787.1	lincRNA	chr3	125908005	125910272	-
RP11-666A20.1	ENSG00000171084.15	transcribed_unprocessed_pseudogene	chr3	125916620	125930024	+
ALG1L	ENSG00000189366.9	protein_coding	chr3	125929275	125937039	-
RP11-666A20.3	ENSG00000241439.1	processed_pseudogene	chr3	125958556	125958817	+
ROPN1B	ENSG00000114547.9	protein_coding	chr3	125969144	125983454	+
SLC41A3	ENSG00000114544.16	protein_coding	chr3	126006355	126101561	-
RP11-158I23.1	ENSG00000248607.1	antisense	chr3	126056923	126058228	+
RP11-124N2.1	ENSG00000250012.1	antisense	chr3	126084220	126095349	+
ALDH1L1	ENSG00000144908.13	protein_coding	chr3	126103562	126197994	-
RP11-124N2.2	ENSG00000250218.1	antisense	chr3	126103640	126108069	+
RNU1-30P	ENSG00000272020.1	snRNA	chr3	126160283	126160445	-
RP11-124N2.3	ENSG00000246022.2	antisense	chr3	126180065	126210169	+
RP11-71E19.1	ENSG00000250934.1	lincRNA	chr3	126266796	126291279	+
RP11-71E19.2	ENSG00000251448.1	lincRNA	chr3	126288867	126294024	-
KLF15	ENSG00000163884.3	protein_coding	chr3	126342635	126357442	-
RP11-71E19.5	ENSG00000249833.5	antisense	chr3	126393032	126394851	-
CFAP100	ENSG00000163885.11	protein_coding	chr3	126394939	126436556	+
RP11-203H19.2	ENSG00000279328.1	TEC	chr3	126432796	126434569	-
ZXDC	ENSG00000070476.14	protein_coding	chr3	126437601	126475919	-
UROC1	ENSG00000159650.8	protein_coding	chr3	126481281	126517773	-
CHST13	ENSG00000180767.9	protein_coding	chr3	126524283	126543291	+
C3orf22	ENSG00000180697.8	protein_coding	chr3	126526999	126558965	-
RNA5SP138	ENSG00000201968.1	rRNA	chr3	126564565	126564678	-
RP11-390G14.7	ENSG00000283374.1	protein_coding	chr3	126571779	126608555	-
TXNRD3NB	ENSG00000206483.5	protein_coding	chr3	126571789	126572636	-
TXNRD3	ENSG00000197763.14	protein_coding	chr3	126607052	126655155	-
RP11-390G14.1	ENSG00000248557.1	processed_pseudogene	chr3	126624792	126626061	+
RP11-605F14.1	ENSG00000198284.9	transcribed_processed_pseudogene	chr3	126660609	126671939	+
RP11-605F14.2	ENSG00000248850.1	processed_pseudogene	chr3	126672106	126673223	-
CHCHD6	ENSG00000159685.10	protein_coding	chr3	126704220	126960406	+
RP11-605F14.3	ENSG00000249558.1	processed_pseudogene	chr3	126766434	126767475	-
RP11-61K12.2	ENSG00000280053.1	TEC	chr3	126973065	126976426	+
PLXNA1	ENSG00000114554.11	protein_coding	chr3	126988594	127037392	+
C3orf56	ENSG00000214324.5	protein_coding	chr3	127193131	127198185	+
RF00019	ENSG00000212556.1	misc_RNA	chr3	127202372	127202473	-
RP11-305F5.2	ENSG00000243016.1	unprocessed_pseudogene	chr3	127221194	127221881	-
RNU6-1047P	ENSG00000201288.1	snRNA	chr3	127240968	127241074	-
RP11-88I21.1	ENSG00000239620.1	processed_pseudogene	chr3	127284081	127284681	-
RP11-88I21.2	ENSG00000244215.1	lincRNA	chr3	127322307	127390670	-
LINC01471	ENSG00000239921.3	lincRNA	chr3	127480690	127537780	-
RP11-59J16.2	ENSG00000240562.1	lincRNA	chr3	127489553	127490787	+
RP11-59J16.3	ENSG00000282975.1	lincRNA	chr3	127537937	127540485	+
RP11-153F10.2	ENSG00000282860.1	lincRNA	chr3	127571232	127571838	-
TPRA1	ENSG00000163870.14	protein_coding	chr3	127573069	127598251	-
MIR6825	ENSG00000275067.1	miRNA	chr3	127575266	127575331	-
MIR7976	ENSG00000276083.1	miRNA	chr3	127587111	127587176	-
MCM2	ENSG00000073111.13	protein_coding	chr3	127598223	127622436	+
PODXL2	ENSG00000114631.10	protein_coding	chr3	127629181	127672809	+
ABTB1	ENSG00000114626.17	protein_coding	chr3	127672935	127680920	+
MGLL	ENSG00000074416.13	protein_coding	chr3	127689062	127823250	-
KBTBD12	ENSG00000187715.13	protein_coding	chr3	127915232	127987671	+
RNA5SP139	ENSG00000201210.1	rRNA	chr3	127963608	127963724	+
SEC61A1	ENSG00000058262.9	protein_coding	chr3	128051641	128071683	+
RUVBL1	ENSG00000175792.11	protein_coding	chr3	128064778	128153914	-
RNU2-37P	ENSG00000222627.1	snRNA	chr3	128075073	128075249	-
RP11-525K18.2	ENSG00000239608.1	antisense	chr3	128075810	128079056	+
RNU6-823P	ENSG00000212344.1	snRNA	chr3	128141875	128141977	-
EEFSEC	ENSG00000132394.10	protein_coding	chr3	128153454	128408646	+
DNAJB8	ENSG00000179407.3	protein_coding	chr3	128462439	128467248	-
RP11-475N22.2	ENSG00000242049.1	antisense	chr3	128463594	128472317	+
GATA2	ENSG00000179348.11	protein_coding	chr3	128479427	128493185	-
RP11-475N22.4	ENSG00000244300.2	antisense	chr3	128489212	128502348	+
RP11-475N22.5	ENSG00000239405.1	processed_pseudogene	chr3	128538020	128538631	+
C3orf27	ENSG00000198685.3	lincRNA	chr3	128572000	128576086	-
RPN1	ENSG00000163902.11	protein_coding	chr3	128619970	128681075	-
RF00017	ENSG00000277250.1	misc_RNA	chr3	128673681	128674021	-
POU5F1P6	ENSG00000242551.2	unprocessed_pseudogene	chr3	128674735	128677005	-
RF00399	ENSG00000207130.1	snoRNA	chr3	128714571	128714705	-
RAB7A	ENSG00000075785.12	protein_coding	chr3	128726122	128814796	+
RP11-689D3.4	ENSG00000239503.1	processed_pseudogene	chr3	128748538	128749489	-
RP11-722C17.1	ENSG00000242992.3	processed_pseudogene	chr3	128764466	128765018	-
RN7SL698P	ENSG00000244232.3	misc_RNA	chr3	128785147	128785448	+
RPS15AP16	ENSG00000239483.1	processed_pseudogene	chr3	128798841	128799201	-
RP11-221E20.5	ENSG00000244065.1	processed_pseudogene	chr3	128843564	128844404	-
RP11-221E20.4	ENSG00000243022.1	processed_pseudogene	chr3	128848673	128849399	-
RP11-221E20.3	ENSG00000242062.1	processed_pseudogene	chr3	128852112	128853008	-
RP11-723O4.9	ENSG00000261159.1	lincRNA	chr3	128859716	128860526	-
RP11-723O4.2	ENSG00000231305.3	antisense	chr3	128861313	128871540	-
RP11-723O4.3	ENSG00000250796.1	processed_pseudogene	chr3	128869624	128870026	+
ACAD9	ENSG00000177646.18	protein_coding	chr3	128879596	128916067	+
KIAA1257	ENSG00000114656.11	protein_coding	chr3	128909866	129002690	-
RP11-723O4.7	ENSG00000279507.1	TEC	chr3	128914833	128915060	-
EFCC1	ENSG00000114654.7	protein_coding	chr3	129001629	129040742	+
RP11-434H6.2	ENSG00000249505.1	processed_pseudogene	chr3	129045763	129046921	+
GP9	ENSG00000169704.4	protein_coding	chr3	129060767	129062406	+
RAB43	ENSG00000172780.16	protein_coding	chr3	129087569	129122801	-
ISY1-RAB43	ENSG00000261796.1	protein_coding	chr3	129087575	129161036	-
RP11-434H6.6	ENSG00000273174.1	antisense	chr3	129123439	129124003	+
ISY1	ENSG00000240682.9	protein_coding	chr3	129127415	129161293	-
RP11-434H6.7	ENSG00000273437.1	lincRNA	chr3	129163606	129163940	-
CNBP	ENSG00000169714.16	protein_coding	chr3	129169484	129183922	-
RP11-309B5.1	ENSG00000241673.1	processed_pseudogene	chr3	129218093	129218350	-
COPG1	ENSG00000181789.14	protein_coding	chr3	129249606	129277773	+
MIR6826	ENSG00000278658.1	miRNA	chr3	129272146	129272243	+
HMCES	ENSG00000183624.13	protein_coding	chr3	129278828	129306186	+
H1FX	ENSG00000184897.5	protein_coding	chr3	129314771	129316277	-
RP13-685P2.5	ENSG00000206417.8	antisense	chr3	129315392	129326225	+
RP13-685P2.4	ENSG00000248916.1	unprocessed_pseudogene	chr3	129323046	129325426	-
RP13-685P2.8	ENSG00000270492.1	processed_pseudogene	chr3	129334586	129335074	+
RP13-685P2.7	ENSG00000270773.1	processed_pseudogene	chr3	129345411	129346164	+
RP11-529F4.1	ENSG00000244932.2	unprocessed_pseudogene	chr3	129381298	129394149	+
RPL32P3	ENSG00000251474.6	transcribed_unprocessed_pseudogene	chr3	129382922	129399655	-
SNORA7B	ENSG00000207088.1	snoRNA	chr3	129397210	129397348	-
EFCAB12	ENSG00000172771.11	protein_coding	chr3	129401321	129428651	-
MBD4	ENSG00000129071.9	protein_coding	chr3	129430944	129440179	-
IFT122	ENSG00000163913.11	protein_coding	chr3	129440036	129520507	+
RHO	ENSG00000163914.4	protein_coding	chr3	129528640	129535169	+
H1FOO	ENSG00000178804.7	protein_coding	chr3	129543214	129551467	+
PLXND1	ENSG00000004399.12	protein_coding	chr3	129555175	129606818	-
RN7SL752P	ENSG00000239437.3	misc_RNA	chr3	129591349	129591635	+
RP11-263I1.1	ENSG00000248659.1	unprocessed_pseudogene	chr3	129632019	129632492	-
TMCC1	ENSG00000172765.16	protein_coding	chr3	129647792	129893576	-
RNY3P13	ENSG00000202412.1	misc_RNA	chr3	129818932	129819033	+
RF00026	ENSG00000283509.1	snRNA	chr3	129819777	129819876	+
RP11-332M2.1	ENSG00000203644.3	sense_intronic	chr3	129847048	129847957	-
AL449209.1	ENSG00000271270.5	antisense	chr3	129893871	129918575	+
RP11-93K22.6	ENSG00000250643.1	antisense	chr3	129954105	129969294	-
TRH	ENSG00000170893.3	protein_coding	chr3	129974305	129977938	+
RP11-93K22.1	ENSG00000248459.1	processed_pseudogene	chr3	129998531	129998936	+
RP11-93K22.15	ENSG00000284731.1	unprocessed_pseudogene	chr3	130002789	130003007	-
RP11-93K22.7	ENSG00000249869.1	processed_pseudogene	chr3	130013182	130013541	-
OR7E129P	ENSG00000180770.3	unprocessed_pseudogene	chr3	130021553	130022520	-
OR7E21P	ENSG00000251178.1	unprocessed_pseudogene	chr3	130034553	130035539	-
RP11-77P16.3	ENSG00000251610.2	unprocessed_pseudogene	chr3	130048143	130055920	-
ALG1L2	ENSG00000251287.8	protein_coding	chr3	130081831	130113227	+
RP11-93K22.13	ENSG00000248243.1	lincRNA	chr3	130089433	130094304	-
FAM86HP	ENSG00000253540.5	transcribed_unprocessed_pseudogene	chr3	130099092	130111472	-
RP11-77P16.4	ENSG00000249846.6	lincRNA	chr3	130112550	130120579	+
RP11-93K22.9	ENSG00000248618.1	processed_pseudogene	chr3	130167790	130168030	-
RP11-93K22.14	ENSG00000250580.1	processed_pseudogene	chr3	130199708	130199918	+
COL6A4P2	ENSG00000228252.9	transcribed_unitary_pseudogene	chr3	130212823	130273806	+
RP11-77P16.1	ENSG00000249253.1	processed_pseudogene	chr3	130293337	130293760	+
COL6A5	ENSG00000172752.14	protein_coding	chr3	130345516	130484844	+
COL6A6	ENSG00000206384.10	protein_coding	chr3	130560334	130678155	+
PIK3R4	ENSG00000196455.7	protein_coding	chr3	130678935	130746829	-
RN7SKP212	ENSG00000222783.1	misc_RNA	chr3	130811768	130812095	-
RP11-119P22.1	ENSG00000232829.3	processed_pseudogene	chr3	130827659	130828376	+
ATP2C1	ENSG00000017260.19	protein_coding	chr3	130850595	131016712	+
RP11-39E3.6	ENSG00000284095.1	TEC	chr3	130868004	130869357	-
RP11-39E3.3	ENSG00000250592.1	antisense	chr3	130899414	130929976	-
RF00019	ENSG00000252894.2	misc_RNA	chr3	130914340	130914452	-
RP11-39E3.4	ENSG00000249098.1	processed_pseudogene	chr3	130918226	130919120	-
RP11-39E3.5	ENSG00000251579.1	processed_pseudogene	chr3	130927754	130928276	-
ASTE1	ENSG00000034533.11	protein_coding	chr3	131013875	131027649	-
NEK11	ENSG00000114670.13	protein_coding	chr3	131026850	131350465	+
RP11-265F19.1	ENSG00000250129.5	antisense	chr3	131053317	131072339	-
RNU6-726P	ENSG00000201550.1	snRNA	chr3	131092821	131092927	-
RP11-933H2.4	ENSG00000250608.1	processed_transcript	chr3	131325092	131381475	-
NUDT16P1	ENSG00000246082.2	transcribed_unitary_pseudogene	chr3	131361898	131365122	+
NUDT16	ENSG00000198585.11	protein_coding	chr3	131381671	131388830	+
RP11-517B11.7	ENSG00000261167.1	sense_overlapping	chr3	131455126	131458598	-
MRPL3	ENSG00000114686.8	protein_coding	chr3	131462212	131502983	-
SNORA58	ENSG00000249020.1	snoRNA	chr3	131479097	131479233	-
RP11-517B11.4	ENSG00000248468.1	antisense	chr3	131517831	131520880	+
RP11-517B11.2	ENSG00000248530.1	processed_pseudogene	chr3	131526447	131527179	+
CPNE4	ENSG00000196353.11	protein_coding	chr3	131533555	132285410	-
RP11-517B11.6	ENSG00000251447.1	unprocessed_pseudogene	chr3	131537571	131537685	-
MIR5704	ENSG00000265859.1	miRNA	chr3	131985855	131985931	-
RP11-64K7.1	ENSG00000240854.1	processed_pseudogene	chr3	132175402	132176711	+
RP11-250B16.1	ENSG00000242899.1	processed_pseudogene	chr3	132243528	132244265	-
ACPP	ENSG00000014257.15	protein_coding	chr3	132317367	132368298	+
RP11-65E22.2	ENSG00000240890.2	processed_pseudogene	chr3	132386522	132389074	+
RP11-65E22.3	ENSG00000213264.3	processed_pseudogene	chr3	132401253	132401796	+
DNAJC13	ENSG00000138246.15	protein_coding	chr3	132417526	132539032	+
ACAD11	ENSG00000240303.7	protein_coding	chr3	132558138	132660723	-
NPHP3-ACAD11	ENSG00000274810.4	protein_coding	chr3	132558142	132722459	-
ACKR4	ENSG00000129048.6	protein_coding	chr3	132597237	132618967	+
RP11-333H9.6	ENSG00000251614.1	processed_pseudogene	chr3	132645831	132650383	+
UBA5	ENSG00000081307.12	protein_coding	chr3	132654446	132678097	+
NPHP3	ENSG00000113971.19	protein_coding	chr3	132680609	132722442	-
NPHP3-AS1	ENSG00000248724.6	antisense	chr3	132721750	132874223	+
RP11-469L4.1	ENSG00000249725.1	lincRNA	chr3	133015004	133037052	-
TMEM108	ENSG00000144868.13	protein_coding	chr3	133038391	133397792	+
RP11-402L6.1	ENSG00000251011.5	antisense	chr3	133246106	133257188	-
BFSP2	ENSG00000170819.4	protein_coding	chr3	133399995	133475222	+
RP11-503I22.2	ENSG00000249820.1	processed_pseudogene	chr3	133409955	133410843	+
RP11-91K8.1	ENSG00000249993.1	antisense	chr3	133429269	133455776	-
RP11-91K8.4	ENSG00000214301.4	processed_pseudogene	chr3	133490824	133491505	+
RP11-91K8.5	ENSG00000272832.1	lincRNA	chr3	133543064	133543466	-
RP11-91K8.2	ENSG00000250983.1	processed_pseudogene	chr3	133546071	133546272	-
RF00438	ENSG00000201827.1	snoRNA	chr3	133551186	133551315	+
CDV3	ENSG00000091527.15	protein_coding	chr3	133573730	133590261	+
TOPBP1	ENSG00000163781.13	protein_coding	chr3	133598175	133662380	-
RP11-404G16.1	ENSG00000242337.5	transcribed_unprocessed_pseudogene	chr3	133661998	133754576	+
RNU6-678P	ENSG00000252641.2	snRNA	chr3	133664926	133665034	+
RNA5SP140	ENSG00000201394.1	rRNA	chr3	133710076	133710167	-
TF	ENSG00000091513.15	protein_coding	chr3	133745956	133796640	+
RP11-404G16.2	ENSG00000244062.1	processed_pseudogene	chr3	133760300	133762363	+
SRPRB	ENSG00000144867.11	protein_coding	chr3	133784033	133825772	+
RAB6B	ENSG00000154917.10	protein_coding	chr3	133824239	133895836	-
C3orf36	ENSG00000221972.3	protein_coding	chr3	133928145	133929812	-
SLCO2A1	ENSG00000174640.12	protein_coding	chr3	133932696	134052184	-
RP11-202A13.1	ENSG00000243832.1	lincRNA	chr3	134055256	134057648	-
RYK	ENSG00000163785.12	protein_coding	chr3	134065303	134250744	-
RP11-627C21.1	ENSG00000231845.3	processed_pseudogene	chr3	134170487	134171085	+
RP11-200A1.1	ENSG00000240006.1	lincRNA	chr3	134313576	134321171	+
RP11-375I20.6	ENSG00000260633.1	lincRNA	chr3	134347288	134349233	-
RPL39P5	ENSG00000214289.2	transcribed_processed_pseudogene	chr3	134351852	134356561	-
AMOTL2	ENSG00000114019.14	protein_coding	chr3	134355874	134375479	-
MIR6827	ENSG00000277723.1	miRNA	chr3	134367804	134367862	-
RP11-375I20.2	ENSG00000248377.1	processed_pseudogene	chr3	134385197	134385494	+
RP11-375I20.3	ENSG00000214288.4	processed_pseudogene	chr3	134437605	134438211	+
MIR4788	ENSG00000284561.1	miRNA	chr3	134437827	134437906	+
ANAPC13	ENSG00000129055.12	protein_coding	chr3	134477706	134486716	-
CEP63	ENSG00000182923.16	protein_coding	chr3	134485743	134575017	+
RP11-445J14.1	ENSG00000249691.1	processed_pseudogene	chr3	134510531	134511413	-
EPHB1	ENSG00000154928.16	protein_coding	chr3	134597801	135260467	+
KY	ENSG00000174611.11	protein_coding	chr3	134603138	134651636	-
RNU6-1174P	ENSG00000253087.1	snRNA	chr3	134780527	134780627	-
RNA5SP141	ENSG00000201413.1	rRNA	chr3	134783436	134783555	-
RP11-657O9.1	ENSG00000240086.5	processed_transcript	chr3	135356067	135439888	-
RP11-237P21.1	ENSG00000242222.1	processed_pseudogene	chr3	135925891	135926167	+
RP11-305O4.1	ENSG00000241905.1	processed_pseudogene	chr3	135959275	135959590	-
PPP2R3A	ENSG00000073711.10	protein_coding	chr3	135965673	136147891	+
RP11-305O4.2	ENSG00000227267.3	processed_pseudogene	chr3	136055184	136055764	+
RP11-305O4.3	ENSG00000273455.1	antisense	chr3	136087475	136087913	-
MSL2	ENSG00000174579.3	protein_coding	chr3	136148922	136197241	-
RP11-463H24.4	ENSG00000241438.1	processed_pseudogene	chr3	136155549	136155996	+
RP11-463H24.1	ENSG00000244740.1	processed_pseudogene	chr3	136205540	136205915	-
PCCB	ENSG00000114054.13	protein_coding	chr3	136250306	136337896	+
STAG1	ENSG00000118007.12	protein_coding	chr3	136336233	136752403	-
RNU6-1284P	ENSG00000200571.1	snRNA	chr3	136430084	136430183	-
RP11-642L11.1	ENSG00000244101.1	processed_pseudogene	chr3	136609050	136609602	+
RNU6-789P	ENSG00000252914.1	snRNA	chr3	136721394	136721495	-
RP11-102M11.1	ENSG00000240695.1	processed_pseudogene	chr3	136736500	136737229	-
RP11-102M11.2	ENSG00000261758.1	antisense	chr3	136752630	136755780	+
RP11-731C17.1	ENSG00000242968.1	processed_pseudogene	chr3	136808551	136809623	-
SLC35G2	ENSG00000168917.8	protein_coding	chr3	136818647	136855892	+
RP11-731C17.2	ENSG00000273486.1	antisense	chr3	136837338	136839021	-
RP11-85F14.5	ENSG00000239213.5	antisense	chr3	136841726	136862054	-
NCK1	ENSG00000158092.6	protein_coding	chr3	136862208	136949823	+
RP11-85F14.1	ENSG00000214283.4	processed_pseudogene	chr3	136899076	136900076	-
IL20RB	ENSG00000174564.12	protein_coding	chr3	136946230	137011085	+
RP11-85F14.6	ENSG00000249407.1	antisense	chr3	136959125	136982196	-
RNA5SP142	ENSG00000201325.1	rRNA	chr3	137518134	137518255	-
RP11-575C1.1	ENSG00000243886.1	processed_pseudogene	chr3	137535572	137536142	-
RP11-2A4.1	ENSG00000242070.1	processed_pseudogene	chr3	137723774	137724543	+
SOX14	ENSG00000168875.2	protein_coding	chr3	137764284	137766338	+
RP11-2A4.3	ENSG00000239513.5	lincRNA	chr3	137771949	137780878	+
RP11-2A4.4	ENSG00000261146.1	lincRNA	chr3	137791973	137796678	+
RP11-598P12.1	ENSG00000241478.1	processed_pseudogene	chr3	137880295	137882237	+
CLDN18	ENSG00000066405.12	protein_coding	chr3	137998735	138033655	+
RP11-461M2.2	ENSG00000272609.1	antisense	chr3	138004649	138005122	-
DZIP1L	ENSG00000158163.14	protein_coding	chr3	138061990	138115818	-
RP11-468F18.2	ENSG00000240668.1	processed_pseudogene	chr3	138101478	138102917	-
A4GNT	ENSG00000118017.3	protein_coding	chr3	138123718	138132387	-
DBR1	ENSG00000138231.12	protein_coding	chr3	138161012	138174949	-
ARMC8	ENSG00000114098.17	protein_coding	chr3	138187248	138298389	+
NME9	ENSG00000181322.13	protein_coding	chr3	138261437	138329886	-
MRAS	ENSG00000158186.12	protein_coding	chr3	138347648	138405534	+
ESYT3	ENSG00000158220.13	protein_coding	chr3	138434586	138481686	+
RP11-80P20.3	ENSG00000280399.1	TEC	chr3	138482065	138485755	+
CEP70	ENSG00000114107.8	protein_coding	chr3	138494344	138594538	-
FAIM	ENSG00000158234.12	protein_coding	chr3	138608606	138633376	+
RP11-79L9.2	ENSG00000174715.7	processed_pseudogene	chr3	138643874	138644694	-
PIK3CB	ENSG00000051382.8	protein_coding	chr3	138652699	138834938	-
RP11-27H1.1	ENSG00000239207.2	processed_pseudogene	chr3	138777832	138778810	+
RP11-117F22.1	ENSG00000242321.1	processed_pseudogene	chr3	138796851	138797240	+
RP11-117F22.2	ENSG00000241429.1	processed_pseudogene	chr3	138825063	138826329	+
RP11-548O1.1	ENSG00000242244.1	processed_pseudogene	chr3	138889255	138889957	-
RP11-548O1.3	ENSG00000244578.1	lincRNA	chr3	138935189	138944020	-
FOXL2	ENSG00000183770.5	protein_coding	chr3	138944224	138947140	-
FOXL2NB	ENSG00000206262.8	protein_coding	chr3	138947234	138953451	+
RP11-771O11.3	ENSG00000206260.3	protein_coding	chr3	139005468	139006268	-
MRPS22	ENSG00000175110.11	protein_coding	chr3	139005806	139357223	+
PRR23B	ENSG00000184814.5	protein_coding	chr3	139019031	139020926	-
PRR23C	ENSG00000233701.3	protein_coding	chr3	139042102	139044892	-
RP11-306L14.1	ENSG00000251137.1	processed_pseudogene	chr3	139081654	139082377	-
BPESC1	ENSG00000232416.3	lincRNA	chr3	139104185	139125171	+
PISRT1	ENSG00000281473.1	lincRNA	chr3	139232992	139233522	+
RF01873	ENSG00000276304.1	misc_RNA	chr3	139233414	139233520	+
RP11-219D15.3	ENSG00000272656.1	antisense	chr3	139349024	139349371	-
COPB2	ENSG00000184432.9	protein_coding	chr3	139355600	139389732	-
RF00026	ENSG00000283418.1	snRNA	chr3	139388277	139388364	+
RP11-319G6.1	ENSG00000248932.5	antisense	chr3	139389815	139583319	+
RBP2	ENSG00000114113.6	protein_coding	chr3	139452884	139480747	-
RP11-319G6.3	ENSG00000248790.1	antisense	chr3	139466430	139466795	+
ACTG1P1	ENSG00000178631.7	processed_pseudogene	chr3	139493809	139494937	+
RBP1	ENSG00000114115.9	protein_coding	chr3	139517434	139539829	-
NMNAT3	ENSG00000163864.16	protein_coding	chr3	139560180	139678017	-
RP11-553K23.2	ENSG00000214280.3	processed_pseudogene	chr3	139582928	139583593	-
RN7SKP124	ENSG00000201600.1	misc_RNA	chr3	139584105	139584445	-
RN7SL724P	ENSG00000244692.3	misc_RNA	chr3	139609669	139609939	-
RP11-442N1.2	ENSG00000261763.1	lincRNA	chr3	139678620	139682564	-
